time (s),sample(v("/out" ?result "tran") 9n 649n "linear" 10n ) (V)
9.000E-9,1.060
19.00E-9,1.325
29.00E-9,1.398
39.00E-9,1.244
49.00E-9,933.0E-3
59.00E-9,607.9E-3
69.00E-9,414.9E-3
79.00E-9,441.7E-3
89.00E-9,676.4E-3
99.00E-9,1.013
109.0E-9,1.297
119.0E-9,1.402
129.0E-9,1.278
139.0E-9,982.0E-3
149.0E-9,649.3E-3
159.0E-9,430.1E-3
169.0E-9,423.7E-3
179.0E-9,633.3E-3
189.0E-9,964.2E-3
199.0E-9,1.265
209.0E-9,1.401
219.0E-9,1.309
229.0E-9,1.030
239.0E-9,693.1E-3
249.0E-9,449.7E-3
259.0E-9,410.3E-3
269.0E-9,592.8E-3
279.0E-9,915.0E-3
289.0E-9,1.230
299.0E-9,1.395
309.0E-9,1.335
319.0E-9,1.077
329.0E-9,738.8E-3
339.0E-9,473.8E-3
349.0E-9,401.6E-3
359.0E-9,555.3E-3
369.0E-9,865.7E-3
379.0E-9,1.191
389.0E-9,1.384
399.0E-9,1.358
409.0E-9,1.122
419.0E-9,786.2E-3
429.0E-9,501.9E-3
439.0E-9,397.7E-3
449.0E-9,521.1E-3
459.0E-9,816.8E-3
469.0E-9,1.150
479.0E-9,1.369
489.0E-9,1.376
499.0E-9,1.166
509.0E-9,834.6E-3
519.0E-9,533.8E-3
529.0E-9,398.6E-3
539.0E-9,490.6E-3
549.0E-9,768.6E-3
559.0E-9,1.106
569.0E-9,1.349
579.0E-9,1.389
589.0E-9,1.206
599.0E-9,883.7E-3
609.0E-9,569.3E-3
619.0E-9,404.4E-3
629.0E-9,464.0E-3
639.0E-9,721.6E-3
649.0E-9,1.060
